92,65,0
17,34,0
86,65,0
67,32,0
88,73,0
31,32,0
25,30,0
92,75,0
65,68,0
100,37,0
23,32,0
97,30,0
89,74,0
89,36,0
62,13,0
85,70,0
97,28,0
8,39,0
6,77,0
49,50,0
77,70,0
83,54,0
7,76,0
14,65,0
16,35,0
116,61,0
65,62,0
80,61,0
102,69,0
97,56,0
33,30,0
8,77,0
88,71,0
116,23,0
87,70,0
23,30,0
6,29,0
76,47,0
78,49,0
105,68,0
31,62,0
38,31,0
10,61,0
95,62,0
27,30,0
117,6,0
114,27,0
9,52,0
93,32,0
12,73,0
41,24,0
64,41,0
71,42,0
87,32,0
100,69,0
84,35,0
94,73,0
76,31,0
83,32,0
10,33,0
62,33,0
108,67,0
7,22,0
115,38,0
